,date,startup_name,industry_vertical,subvertical,city,investor,investment_type,amount,year,month
1840,2016-07-03,vanity cube,consumer internet,hyperlocal beauty services platform,new delhi,unicorn ventures,seed,20742500.0,2016,7
1841,2016-07-03,wooplr,ecommerce,curated fashion ecommerce portal,bengaluru,"naveen tewari, abhay singhal, amit gupta, piyush shah, raghunandan g, rajiv mehta",seed,,2016,7
1842,2016-07-03,medidaili,consumer internet,medical support service platform,bengaluru,undisclosed,seed,8297000.0,2016,7
1843,2016-08-03,finomena,technology,credit worthiness big data analytics,new delhi,matrix partners india,private equity,,2016,8
1844,2016-08-03,cookaroo,consumer internet,food delivery platform,bengaluru,vijay krishna yadav,seed,,2016,8
1845,2016-08-03,vphrase analytics,technology,ai based data analytics platform,mumbai,"apoorv ranjan sharma, daud ali and others",seed,,2016,8
1846,2016-08-03,lovecycles,consumer internet,women\\xe2\\x80\\x99s health tracker,bengaluru,prime venture partners,seed,62227500.0,2016,8
1847,2016-08-03,kartrocket,ecommerce,ecommerce saas platform,new delhi,undisclosed,private equity,663760000.0,2016,8
1848,2016-08-03,dunzo,consumer internet,daily task management app,bengaluru,"aspada investment advisors, blume ventures.",seed,53930500.0,2016,8
1849,2016-09-03,indiamart,ecommerce,b2b marketplace for smbs,noida,amadeus capital,private equity,,2016,9
1850,2016-09-03,smartvizx,technology,virtual reality solutions,noida,"indian angel network, stanford angels, entrepreneurs india",seed,41485000.0,2016,9
1851,2016-09-03,mygubbi,real estate,interior design & home d\\xc3\\xa9cor solutions,bengaluru,"vipul parekh, ajesh k murthy,",seed,207425000.0,2016,9
1852,2016-09-03,nukkad shops,consumer internet,hyperlocal grocery delivery service,hyderabad,purpletalk inc,seed,82970000.0,2016,9
1853,2016-09-03,cloudacar,consumer internet,carpooling mobile app,pune,"amit choudhary, anuj puri",seed,,2016,9
1854,2016-09-03,justride,consumer internet,self drive car rental,mumbai,dheeraj jain & other angel investors,seed,33188000.0,2016,9
1855,2016-09-03,yana,consumer internet,personal ai transaction engine app,gurgaon,"puneet gupta,",seed,,2016,9
1856,2016-10-03,big fish ventures,food & beverage,premium dining lounges chain,new delhi,undisclosed,private equity,920967000.0,2016,10
1857,2016-10-03,stylflip,ecommerce,pre-owned fashion marketplace mobile app,mumbai,"raj gala shah, zaheer memon",seed,,2016,10
1858,2016-10-03,icertis,technology,contract management software solutions platform,india/us,"ignition partners, greycroft partners, fidelity growth partners india",private equity,1244550000.0,2016,10
1859,2016-10-03,supplified,ecommerce,construction material etailer,new delhi,mohit goel,seed,82970000.0,2016,10
1860,2016-11-03,jollyfoodfellow,technology,food related marketing & branding platform,ahmedabad,janak parikh,seed,,2016,11
1861,2016-03-14,pinkblue,ecommerce,medical supplies etailer,bengaluru,"hari krishna, ajay modani, dr v ravinder, anirudh rastogi, abhishek jain, rakesh gakhar, rajeev mudumba, nagendra prasad bhanuprakash",seed,18552755.76,2016,3
1862,2016-03-14,truckingcube,logistics,"domestic, commercial, and industrial goods movers",new delhi,agarwal movers group,private equity,1236253000.0,2016,3
1863,2016-03-14,eswasthya,consumer internet,online medicine delivery aggregator,ahmedabad,hemang sahani,seed,,2016,3
1864,2016-03-15,flipclass,consumer internet,tutor search platform,bengaluru,"s chand and co pvt ltd, blume ventures",private equity,82970000.0,2016,3
1865,2016-03-15,proximit,technology,advertising technology,pune,funding through 1crowd platform,seed,12445500.0,2016,3
1866,2016-03-15,withme,consumer internet,personalized fashion app,gurgaon,"alex kuruvilla, pradeep guha, saket dhankar, rajan pandhare",seed,20742500.0,2016,3
